管理番号,案件番号,ステータス*,初回入力日*,更新日*,企業名*,都道府県（配属先）*,市区町村（配属先）*,最寄駅（配属先）*,雇用形態*,種別,業務内容*,求めるスキル*,開発対象*,想定年収*,勤務h*,残業時間（h）*,受注数,未経験者,40代以上,外国籍,その他・補足事項（アピールポイントなど）,勤務地市町村
nk285ME,TKe000575,-,2021/7/14,2024/9/2,東京ﾄﾞﾛｳｲﾝｸﾞ,東京都,大田区,大森駅,正社員/契約社員,機電,LSI/FPGA開発に関する業務,＜MUST＞ ・Verilog-HDLでの論理設計/検証経験：3年以上 ・Linux環境での論理設計/検証業務経験 ・論理回路図の読み書きが出来る ＜WANT＞ ・VBA、ruby、perl、Java等のスクリプトが使える ・SVA、SystemVerilogを使用した論理検証スキル ・バージョン管理システム（cvs、svn、git）の活用経験 ・実機評価の経験,電子回路,400万円以上,9:30～18:30（休憩１h,30h,複数,不可,可,可,,不明
nk286IE,NGi000595,変更,2021/7/15,2024/9/11,ｱｲｼﾝ･ｲﾝﾌｫﾃｯｸｽ,愛知県,刈谷市,刈谷駅,正社員/契約社員,IT,CAD・PDMシステムの運用・維持管理業務におけるオペレーション作業の自動化,・PowerShell、VBA、Excelマクロの理解 ・OS、IPアドレス、hostsファイル、MACアドレスなどWindowsの基本的な知識 ・コミュニケーション能力、報告連絡相談ができる,システム,350万円～,8:30～17:30,20h,3,不可,,,,不明
nk287IE,NGi000596,変更,2021/7/15,2024/9/11,ｱｲｼﾝ･ｲﾝﾌｫﾃｯｸｽ,愛知県,刈谷市,刈谷駅,正社員/契約社員,IT,サーバ構築・維持保守,＜MUST＞ ・ESX環境でのVM操作、OSセットアップ（Windows、Linuxサーバ） ・Linuxサーバでのファイルコピー、ログ出力操作 ＜BETTER＞ ・DB：SQL、Oracles設計、構築、維持 ・Web：ApacheTomcat設計、構築、維持,システム,350万円～,8:30～17:30,20h,3,不可,,,,不明
nk288IE,YKe000611,変更,2021/7/6,2024/8/19,東芝情報ｼｽﾃﾑ,神奈川県,川崎市,川崎,正社員/契約社員,IT,画像処理ブロックのロジック部設計、検証業務,・半導体のフロントエンド設計、検証、Verilogコーディング経験がある。 ・Linux、エディタ(vi、emacs、その他)の操作ができる。 ・コミュニケーションが良好で、自立して作業ができる ・新しいことを吸収する力があること ・作業効率化のために、Perl/C言語等の実務経験があること。 ・画像処理について、基本知識の理解がある。 ・画処理回路のアルゴリズム検討の経験がある。 ・AXIバスプロコトルの理解している。 ・回路の低消費電力検討の経験がある。 ・Ethernet関連の設計・検証の経験がある。 ・数学的な計算が苦にならない ・アルゴリズムから理解出来る ・EDAツールの使用経験（Spyglass、VCSまたはIncisive）がある。 ・開発支援言語について、実務で活用経験がある。（Shell、Perl、C、Python等）,LSI,400万～,9:00～18:00,20h,5,不可,可,可,,不明
nk289IE,YKe000612,変更,2021/7/6,2024/8/19,東芝情報ｼｽﾃﾑ,神奈川県,鎌倉市,大船,正社員/契約社員,IT,次世代メモリレイアウト業務 ・メモリのアナログ回路に関する手書きのレイアウト作成及び検証作業,＜MUST＞ ・半導体業務レイアウトが描ける ・物理検証の経験がある。（DRC/LVSのエラーが解析できる） ・メモリ（アナログ）レイアウトの経験がある。 ・ツールを使用せず、ゼロから（デザインルールを見ながら）トランジスタからの組み上げが出来る。 ・コミュニケーションが良好で自立して作業ができる。 ＜WANT＞ ・CadenceLayout-Tool（Virtuoso-XL）でのレイアウト経験がある。 （アナログ/マニュアルレイアウト） ・メモリの知識を有していること。 ・TEG（TestElementGroup）レイアウトの経験があること。 ・レイアウト設計環境構築の経験があること。,LSI,400万～,9:00～18:00,20h,6,不可,可,不可,,不明
nk290MI1,YKe000613,変更,2021/7/19,2024/8/19,不動技研工業,神奈川県,厚木市,愛甲石田,正社員/契約社員,機電,自動運転機能に関わる、HMIの実験・評価,・ECU開発経験 ・自動車開発プロジェクト経験,自動車ECU,400万～,9:00～18:00,20h,3～5,可,不可,不可,,不明
nk290MI2,YKe000613,変更,2021/7/19,2024/8/19,不動技研工業,神奈川県,厚木市,愛甲石田,正社員/契約社員,機電,自動運転機能に関わる、HMIの実験・評価,・ECU開発経験 ・自動車開発プロジェクト経験,自動車ECU,400万～,9:00～18:00,20h,3～5,可,不可,不可,,不明
nk290ME,YKe000613,変更,2021/7/19,2024/8/19,不動技研工業,神奈川県,厚木市,愛甲石田,正社員/契約社員,機電,自動運転機能に関わる、HMIの実験・評価,・ECU開発経験 ・自動車開発プロジェクト経験,自動車ECU,400万～,9:00～18:00,20h,3～5,可,不可,不可,,不明
nk291IE,HKe000622,変更,2021/7/20,2024/6/4,三菱電機ﾊﾟﾜｰﾃﾞﾊﾞｲｽ製作所,福岡県,福岡市,今宿駅,正社員,IT,アセンブリプロセスの実験評価業務（設備の簡単な操作） Excelでのデータ整理、分析業務,・半導体後工程の設備技術業務経験 ・分析ツールPowerBI、3次元画像測定機、超音波映像装置、X線装置使用経験,実験評価,350万円～600万円,8:30～17:30,30h,5,不可,可,可,大手半導体企業のお仕事です。,不明
nk292ME,OSe000686,-,2021/7/22,2024/8/19,ﾀﾞｲﾊﾂ工業池田,大阪府,池田市,阪急　池田駅,正社員,機電,車両生産技術業務,・ボデー/シャシー部品のプレス生産準備業務、および生産技術開発,自動車,350万?800万,8:45～17:30,20h,3,不可,可,可,有名自動車メーカーでのお仕事！ ＰＣ業務が好きな方大歓迎！,不明
nk293ME,OSe000687,-,2021/7/22,2024/8/19,ﾀﾞｲﾊﾂ工業池田,大阪府,池田市,阪急　池田駅,正社員,機電,車両生産技術業務,・車両内外装の樹脂加飾部品（表皮、塗装、加飾フィルム）の品質保証業務,自動車,350万?800万,8:45～17:30,20h,3,不可,可,可,有名自動車メーカーでのお仕事！ ＰＣ業務が好きな方大歓迎！,不明
